"","SEQN","INDFMMPI","INDFMMPC","INQ300","IND310"
"1208",131585,4.32,3,2,4
"1209",131586,3.62,3,2,3
"1210",131587,5,3,1,NA
"1211",131588,1.56,2,1,NA
"1212",131589,0.72,1,1,NA
"1213",131590,4.8,3,1,NA
"1214",131591,1.94,3,2,2
"1215",131592,NA,3,1,NA
"1216",131593,NA,2,1,NA
"1217",131594,NA,1,1,NA
"1218",131595,3.53,3,2,2
"1219",131596,0.36,1,2,1
"1220",131597,2.96,3,2,3
"1221",131598,4.32,3,1,NA
"1222",131599,NA,1,2,1
"1223",131600,0,1,2,1
"1224",131601,3.7,3,1,NA
"1225",131602,1.65,2,1,NA
"1226",131603,NA,1,9,NA
"1227",131604,1.7,2,2,1
"1228",131605,0.99,1,2,5
"1229",131606,2.39,3,7,NA
"1230",131607,5,3,1,NA
"1231",131608,0.89,1,2,1
"1232",131609,NA,1,9,NA
"1233",131610,1.11,1,2,1
"1234",131611,5,3,1,NA
"1235",131612,NA,3,1,NA
"1236",131613,3.28,3,2,4
"1237",131614,3.29,3,1,NA
"1238",131615,2.34,3,2,3
"1239",131616,2.65,3,1,NA
"1240",131617,1.83,2,1,NA
"1241",131618,0.39,1,2,1
"1242",131619,1.25,1,2,1
"1243",131620,1.06,1,2,1
"1244",131621,1.85,2,2,4
"1245",131622,3.46,3,1,NA
"1246",131623,0.43,1,2,1
"1247",131624,1.51,2,2,1
"1248",131625,3.28,3,1,NA
"1249",131626,5,3,1,NA
"1250",131627,NA,1,2,1
"1251",131628,1.55,2,2,1
"1252",131629,4.77,3,2,2
"1253",131630,NA,1,2,3
"1254",131631,1.57,2,2,1
"1255",131632,0.46,1,2,1
"1256",131633,1.04,1,2,1
"1257",131634,NA,NA,NA,NA
"1258",131635,NA,1,2,1
"1259",131636,0,1,2,1
"1260",131637,0.89,1,2,1
"1261",131638,2.29,3,2,1
"1262",131639,0.82,1,2,1
"1263",131640,NA,NA,NA,NA
"1264",131641,NA,3,1,NA
"1265",131642,5,3,2,3
"1266",131643,4.26,3,1,NA
"1267",131644,1.69,2,2,1
"1268",131645,0.44,1,2,1
"1269",131646,2.21,3,2,1
"1270",131647,1.73,2,2,3
"1271",131648,0,1,2,1
"1272",131649,NA,NA,NA,NA
"1273",131650,1.04,1,2,1
"1274",131651,5,3,2,2
"1275",131652,0.74,1,2,1
"1276",131653,1.26,1,2,1
"1277",131654,0.75,1,2,1
"1278",131655,NA,NA,NA,NA
"1279",131656,2.41,3,1,NA
"1280",131657,NA,1,2,1
"1281",131658,3.86,3,1,NA
"1282",131659,1.45,2,2,2
"1283",131660,NA,1,2,1
"1284",131661,NA,3,1,NA
"1285",131662,5,3,1,NA
"1286",131663,1.15,1,1,NA
"1287",131664,5,3,1,NA
"1288",131665,1.19,1,2,1
"1289",131666,1.37,2,2,1
"1290",131667,5,3,1,NA
"1291",131668,1.11,1,2,1
"1292",131669,1.76,2,2,2
"1293",131670,1.61,2,2,1
"1294",131671,NA,NA,NA,NA
"1295",131672,NA,2,1,NA
"1296",131673,1.85,2,2,1
"1297",131674,5,3,1,NA
"1298",131675,4.92,3,2,3
"1299",131676,4.01,3,2,1
"1300",131677,NA,9,2,1
"1301",131678,1.04,1,2,1
"1302",131679,5,3,1,NA
"1303",131680,2.6,3,2,2
"1304",131681,NA,NA,NA,NA
"1305",131682,0.89,1,2,1
"1306",131683,0.96,1,2,1
"1307",131684,3.39,3,1,NA
"1308",131685,5,3,1,NA
"1309",131686,NA,9,2,1
"1310",131687,NA,NA,NA,NA
"1311",131688,2.59,3,1,NA
"1312",131689,2.01,3,1,NA
"1313",131690,5,3,1,NA
"1314",131691,NA,9,9,NA
"1315",131692,1.85,2,2,1
"1316",131693,2.38,3,2,3
"1317",131694,3.97,3,1,NA
"1318",131695,4.43,3,1,NA
"1319",131696,0.98,1,2,2
"1320",131697,1.38,2,2,1
"1321",131698,2.03,3,2,1
"1322",131699,5,3,2,4
"1323",131700,3.04,3,1,NA
"1324",131701,1.59,2,1,NA
"1325",131702,0.37,1,1,NA
"1326",131703,2.62,3,1,NA
"1327",131704,1.05,1,2,1
"1328",131705,5,3,1,NA
"1329",131706,1.11,1,2,4
"1330",131707,1.31,2,2,1
"1331",131708,5,3,1,NA
"1332",131709,1.85,2,1,NA
"1333",131710,2.74,3,2,1
"1334",131711,NA,9,9,NA
"1335",131712,1.6,2,2,1
"1336",131713,2.19,3,1,NA
"1337",131714,0,1,1,NA
"1338",131715,NA,1,2,1
"1339",131716,3.47,3,1,NA
"1340",131717,2.54,3,1,NA
"1341",131718,NA,1,2,1
"1342",131719,1.18,1,2,1
"1343",131720,2,3,1,NA
"1344",131721,1.2,1,2,1
"1345",131722,1.39,2,2,1
"1346",131723,4.59,3,1,NA
"1347",131724,5,3,1,NA
"1348",131725,0.69,1,2,1
"1349",131726,4.87,3,2,1
"1350",131727,4.42,3,2,1
"1351",131728,5,3,1,NA
"1352",131729,NA,NA,NA,NA
"1353",131730,2.56,3,7,NA
"1354",131731,5,3,1,NA
"1355",131732,NA,3,1,NA
"1356",131733,0.42,1,2,1
"1357",131734,5,3,1,NA
"1358",131735,1.21,1,2,1
"1359",131736,4.19,3,1,NA
"1360",131737,NA,NA,NA,NA
"1361",131738,NA,NA,NA,NA
"1362",131739,0.97,1,2,1
"1363",131740,1.77,2,2,1
"1364",131741,NA,9,2,1
"1365",131742,1.71,2,2,1
"1366",131743,0.41,1,2,1
"1367",131744,2.81,3,1,NA
"1368",131745,2.9,3,1,NA
"1369",131746,5,3,1,NA
"1370",131747,NA,NA,NA,NA
"1371",131748,NA,NA,NA,NA
"1372",131749,3.17,3,1,NA
"1373",131750,NA,NA,NA,NA
"1374",131751,NA,NA,NA,NA
"1375",131752,5,3,1,NA
"1376",131753,1.97,3,2,1
"1377",131754,0.85,1,2,1
"1378",131755,NA,1,2,1
"1379",131756,1.08,1,2,1
"1380",131757,3.73,3,2,2
"1381",131758,0.43,1,2,1
"1382",131759,1.91,3,2,4
"1383",131760,NA,NA,NA,NA
"1384",131761,4.68,3,1,NA
"1385",131762,1.48,2,2,1
"1386",131763,5,3,1,NA
"1387",131764,1.3,1,2,1
"1388",131765,1.03,1,1,NA
"1389",131766,0.48,1,2,3
"1390",131767,NA,9,9,NA
"1391",131768,0,1,2,1
"1392",131769,5,3,1,NA
"1393",131770,2.59,3,2,2
"1394",131771,NA,NA,NA,NA
"1395",131772,NA,9,2,1
"1396",131773,1.66,2,2,1
"1397",131774,0.77,1,2,4
"1398",131775,3.87,3,1,NA
